01-30 21:09:41.835 INFO  --- [main] [AbstractTestContextBootstrapper]:308 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Neither @ContextConfiguration nor @ContextHierarchy found for test class [ResourceDaoImplTest], using SpringBootContextLoader
01-30 21:09:41.868 INFO  --- [main] [AbstractContextLoader]:264 o.s.test.context.support.AbstractContextLoader >>> Could not detect default resource locations for test class [ResourceDaoImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
01-30 21:09:42.263 INFO  --- [main] [AbstractTestContextBootstrapper]:248 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
01-30 21:09:42.294 INFO  --- [main] [AbstractTestContextBootstrapper]:177 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6fd83fc1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4f2b503c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@bae7dc0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@209da20d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e15b7e8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1b2abca6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6392827e, org.springframework.test.context.event.EventPublishingTestExecutionListener@2ed2d9cb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@d5b810e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@43dac38f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@342c38f8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@c88a337, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5d0a1059]
01-30 21:09:43.579 INFO  --- [main] [SpringApplication]:651 ResourceDaoImplTest >>> No active profile set, falling back to default profiles: default
01-30 21:09:44.882 WARN  --- [main] [EndpointId]:155 o.springframework.boot.actuate.endpoint.EndpointId >>> Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
01-30 21:09:45.366 INFO  --- [main] [RepositoryConfigurationDelegate]:249 o.s.d.r.config.RepositoryConfigurationDelegate >>> Multiple Spring Data modules found, entering strict repository configuration mode!
01-30 21:09:45.370 INFO  --- [main] [RepositoryConfigurationDelegate]:127 o.s.d.r.config.RepositoryConfigurationDelegate >>> Bootstrapping Spring Data JPA repositories in DEFAULT mode.
01-30 21:09:46.085 INFO  --- [main] [RepositoryConfigurationDelegate]:187 o.s.d.r.config.RepositoryConfigurationDelegate >>> Finished Spring Data repository scanning in 698ms. Found 9 JPA repository interfaces.
01-30 21:09:46.115 INFO  --- [main] [RepositoryConfigurationDelegate]:249 o.s.d.r.config.RepositoryConfigurationDelegate >>> Multiple Spring Data modules found, entering strict repository configuration mode!
01-30 21:09:46.176 INFO  --- [main] [RepositoryConfigurationDelegate]:127 o.s.d.r.config.RepositoryConfigurationDelegate >>> Bootstrapping Spring Data Redis repositories in DEFAULT mode.
01-30 21:09:46.212 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.client.ClientRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.213 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.resource.ResourceRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.214 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.resource.ResourceServerRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.215 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.user.PermissionRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.216 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.user.RolePermissionRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.217 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.user.RoleRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.218 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.user.UserClientRelationRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.219 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.user.UserRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.220 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.user.UserRoleRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:09:46.221 INFO  --- [main] [RepositoryConfigurationDelegate]:187 o.s.d.r.config.RepositoryConfigurationDelegate >>> Finished Spring Data repository scanning in 23ms. Found 0 Redis repository interfaces.
01-30 21:09:46.404 WARN  --- [main] [EndpointId]:155 o.springframework.boot.actuate.endpoint.EndpointId >>> Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
01-30 21:09:46.671 INFO  --- [main] [GenericScope]:295 o.springframework.cloud.context.scope.GenericScope >>> BeanFactory id=f2aff96d-5158-3ceb-a24d-30df3c6dce6d
01-30 21:09:47.119 INFO  --- [main] [PostProcessorRegistrationDelegate$BeanPostProcessorChecker]:330 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker >>> Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
01-30 21:09:47.665 INFO  --- [main] [LogHelper]:31 org.hibernate.jpa.internal.util.LogHelper >>> HHH000204: Processing PersistenceUnitInfo [name: default]
01-30 21:09:47.759 INFO  --- [main] [Version]:46 org.hibernate.Version >>> HHH000412: Hibernate Core {5.4.9.Final}
01-30 21:09:48.000 INFO  --- [main] [JavaReflectionManager]:49 org.hibernate.annotations.common.Version >>> HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
01-30 21:09:48.143 INFO  --- [main] [HikariDataSource]:110 com.zaxxer.hikari.HikariDataSource >>> HikariPool-1 - Starting...
01-30 21:09:48.421 INFO  --- [main] [HikariDataSource]:123 com.zaxxer.hikari.HikariDataSource >>> HikariPool-1 - Start completed.
